team_id,team_name,team
1610612737,Atlanta Hawks,Atlanta
1610612738,Boston Celtics,Boston
1610612739,Cleveland Cavaliers,Cleveland
1610612740,New Orleans Pelicans,NewOrleans
1610612740,New Orleans Hornets,NewOrleans
1610612741,Chicago Bulls,Chicago
1610612742,Dallas Mavericks,Dallas
1610612743,Denver Nuggets,Denver
1610612744,Golden State Warriors,GoldenState
1610612745,Houston Rockets,Houston
1610612746,LA Clippers,LAClippers
1610612746,Los Angeles Clippers,LAClippers
1610612747,Los Angeles Lakers,LALakers
1610612748,Miami Heat,Miami
1610612749,Milwaukee Bucks,Milwaukee
1610612750,Minnesota Timberwolves,Minnesota
1610612751,Brooklyn Nets,Nets
1610612751,New Jersey Nets,Nets
1610612752,New York Knicks,NewYork
1610612753,Orlando Magic,Orlando
1610612754,Indiana Pacers,Indiana
1610612755,Philadelphia 76ers,Philadelphia
1610612756,Phoenix Suns,Phoenix
1610612757,Portland Trail Blazers,Portland
1610612758,Sacramento Kings,Sacramento
1610612759,San Antonio Spurs,SanAntonio
1610612760,Oklahoma City Thunder,OklahomaCity
1610612761,Toronto Raptors,Toronto
1610612762,Utah Jazz,Utah
1610612763,Memphis Grizzlies,Memphis
1610612764,Washington Wizards,Washington
1610612765,Detroit Pistons,Detroit
1610612766,Charlotte Hornets,Charlotte
1610612766,Charlotte Bobcats,Charlotte